Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-10-02 18:49:20,51.84,2, , , 
2019-10-02 19:49:20,48.13,0, , , 
2019-10-02 20:49:20,47.90,0, , , 
2019-10-02 21:49:20,48.98,0, , , 
2019-10-02 22:49:20,49.29,0, , , 
2019-10-02 23:49:20,48.29,0, , , 
2019-10-03 00:49:20,47.75,0, , , 
2019-10-03 01:49:20,47.52,0, , , 
2019-10-03 02:49:20,46.13,0, , , 
2019-10-03 03:49:20,46.28,0, , , 
2019-10-03 04:49:20,46.51,0, , , 
2019-10-03 05:49:20,45.89,0, , , 
2019-10-03 06:49:20,44.12,0, , , 
2019-10-03 07:49:20,44.35,28, , , 
2019-10-03 08:49:20,48.75,167, , , 
2019-10-03 09:49:20,54.47,165, , , 
2019-10-03 10:49:20,57.71,225, , , 
2019-10-03 11:49:20,56.55,127, , , 
2019-10-03 12:49:20,57.79,100, , , 
2019-10-03 13:49:20,58.33,93, , , 
2019-10-03 14:49:20,60.95,103, , , 
2019-10-03 15:49:20,63.35,118, , , 
2019-10-03 16:49:20,63.19,138, , , 
2019-10-03 17:49:20,60.03,54, , , 
2019-10-03 18:49:20,53.15,2, , , 
2019-10-03 19:49:20,48.06,0, , , 
2019-10-03 20:49:20,44.27,0, , , 
2019-10-03 21:49:20,44.12,0, , , 
2019-10-03 22:49:20,43.50,0, , , 
2019-10-03 23:49:20,41.88,0, , , 
2019-10-04 00:49:20,40.57,0, , , 
2019-10-04 01:49:20,38.17,0, , , 
2019-10-04 02:49:20,37.25,0, , , 
2019-10-04 03:49:20,35.55,0, , , 
2019-10-04 04:49:20,34.00,0, , , 
2019-10-04 05:49:20,33.08,0, , , 
2019-10-04 06:49:20,32.77,1, , , 
2019-10-04 07:49:20,37.40,217, , , 
2019-10-04 08:49:20,57.56,440, , , 
2019-10-04 09:49:20,59.56,260, , , 
2019-10-04 10:49:20,59.72,171, , , 
2019-10-04 11:49:20,58.10,104, , , 
2019-10-04 12:49:20,60.34,102, , , 
2019-10-04 13:49:20,63.27,178, , , 
2019-10-04 14:49:20,65.89,103, , , 
2019-10-04 15:49:20,63.81,89, , , 
2019-10-04 16:49:20,66.59,124, , , 
2019-10-04 17:49:20,63.89,52, , , 
2019-10-04 18:49:20,54.23,1, , , 
2019-10-04 19:49:20,47.75,0, , , 
2019-10-04 20:49:20,52.84,0, , , 
2019-10-04 21:49:20,64.35,0, , , 
2019-10-04 22:49:20,65.35,0, , , 
2019-10-04 23:49:20,60.57,0, , , 
2019-10-05 00:49:20,57.09,0, , , 
2019-10-05 01:49:20,54.31,0, , , 
2019-10-05 02:49:20,51.92,0, , , 
2019-10-05 03:49:20,52.69,0, , , 
2019-10-05 04:49:20,52.15,0, , , 
2019-10-05 05:49:20,50.53,0, , , 
2019-10-05 06:49:20,52.38,1, , , 
2019-10-05 07:49:20,54.31,80, , , 
2019-10-05 08:49:20,54.39,125, , , 
2019-10-05 09:49:20,60.18,312, , , 
2019-10-05 10:49:20,61.11,273, , , 
2019-10-05 11:49:20,58.56,259, , , 
2019-10-05 12:49:20,61.03,229, , , 
2019-10-05 13:49:20,61.57,100, , , 
2019-10-05 14:49:20,63.58,115, , , 
2019-10-05 15:49:20,65.05,118, , , 
2019-10-05 16:49:20,65.51,120, , , 
2019-10-05 17:49:20,60.95,63, , , 
2019-10-05 18:49:20,53.54,2, , , 
2019-10-05 19:49:20,49.68,0, , , 
